Age,Gender,Marriage Status,No of People Living in Family,State,Employment Status,No_Employees,Cluster_KModes
78,Male,Married,2,Maharashtra,Retired,10-50,0
25,Female,Single,6,Ladakh,Employed(Private),1000+,0
43,Female,Married,6,Himachal Pradesh,Retired,10-50,2
40,Male,Single,9,Rajasthan,Unemployed,500-1000,0
22,Female,Married,4,Manipur,Unemployed,500-1000,2
57,Male,Other,6,Dadra and Nagar Haveli and Daman and Diu,Unemployed,50-100,2
44,Male,Other,6,Goa,Student,100-500,3
25,Female,Single,5,Jammu and Kashmir,Student,50-100,1
65,Female,Other,4,Mizoram,Employed(Government),100-500,0
40,Male,Married,1,Madhya Pradesh,Unemployed,0-10,1
76,Male,Single,4,Nagaland,Student,1000+,0
30,Male,Married,1,Gujarat,Employed(Private),50-100,0
56,Male,Married,2,Ladakh,Employed(Government),1000+,2
51,Female,Other,5,Meghalaya,Student,1000+,1
70,Male,Other,3,Tamil Nadu,Student,0-10,3
42,Male,Married,2,Himachal Pradesh,Employed(Private),0-10,2
67,Female,Other,3,Assam,Employed(Private),0-10,3
67,Male,Other,10,Andaman and Nicobar Islands,Retired,0-10,1
77,Male,Other,2,Haryana,Unemployed,1000+,2
37,Female,Other,4,Himachal Pradesh,Employed(Private),50-100,1
19,Female,Other,9,Madhya Pradesh,Unemployed,50-100,0
59,Female,Married,8,Lakshadweep,Employed(Government),10-50,2
38,Female,Married,4,Nagaland,Employed(Private),1000+,3
34,Male,Other,10,Himachal Pradesh,Employed(Private),10-50,2
46,Male,Single,7,Meghalaya,Employed(Private),10-50,2
41,Male,Other,8,Dadra and Nagar Haveli and Daman and Diu,Employed(Government),0-10,1
59,Female,Other,9,Haryana,Unemployed,500-1000,0
57,Male,Other,5,Uttarakhand,Retired,50-100,1
57,Male,Single,6,Kerala,Unemployed,100-500,2
76,Male,Married,6,Haryana,Unemployed,1000+,0
40,Female,Other,8,Chandigarh,Retired,1000+,3
63,Male,Married,4,Uttar Pradesh,Employed(Government),500-1000,3
56,Male,Married,9,Assam,Employed(Government),500-1000,0
68,Female,Single,7,West Bengal,Unemployed,50-100,1
65,Male,Married,9,Arunachal Pradesh,Retired,50-100,0
55,Female,Other,9,Jharkhand,Employed(Private),50-100,3
71,Male,Married,9,Sikkim,Employed(Private),50-100,2
67,Male,Other,10,Gujarat,Employed(Government),1000+,2
45,Female,Single,2,Assam,Retired,100-500,1
49,Female,Single,10,Chandigarh,Student,10-50,1
26,Male,Married,10,Uttarakhand,Unemployed,1000+,0
27,Male,Married,3,Rajasthan,Employed(Government),50-100,3
73,Female,Other,4,Lakshadweep,Student,1000+,3
39,Male,Single,9,Lakshadweep,Employed(Government),0-10,3
18,Male,Single,1,Andhra Pradesh,Employed(Government),100-500,0
56,Male,Other,3,Ladakh,Employed(Government),500-1000,2
34,Male,Married,10,Ladakh,Unemployed,10-50,1
43,Male,Other,7,Madhya Pradesh,Retired,500-1000,2
42,Female,Other,1,Rajasthan,Unemployed,1000+,3
22,Male,Other,7,Haryana,Student,500-1000,0
28,Female,Married,4,Punjab,Employed(Private),500-1000,0
80,Male,Married,1,Himachal Pradesh,Student,50-100,2
24,Female,Married,1,Punjab,Employed(Private),100-500,1
55,Female,Married,9,Sikkim,Employed(Government),1000+,1
80,Male,Married,1,Himachal Pradesh,Retired,500-1000,0
69,Male,Single,9,Himachal Pradesh,Employed(Government),0-10,2
57,Male,Other,2,Haryana,Employed(Private),50-100,0
28,Male,Single,2,Nagaland,Student,1000+,0
59,Male,Other,10,Tamil Nadu,Retired,500-1000,1
18,Male,Married,4,Andhra Pradesh,Unemployed,10-50,3
64,Female,Other,4,Goa,Employed(Private),10-50,2
27,Male,Married,9,Jharkhand,Employed(Private),50-100,2
21,Male,Married,5,Andhra Pradesh,Employed(Government),10-50,2
73,Male,Married,3,Madhya Pradesh,Employed(Private),50-100,2
71,Female,Other,10,Manipur,Student,100-500,1
54,Female,Married,3,Punjab,Student,100-500,3
52,Male,Married,5,Madhya Pradesh,Unemployed,100-500,0
51,Female,Other,10,Tamil Nadu,Employed(Private),50-100,0
29,Female,Single,1,Nagaland,Employed(Government),10-50,1
54,Female,Single,4,Dadra and Nagar Haveli and Daman and Diu,Retired,0-10,2
48,Female,Other,6,Chandigarh,Employed(Government),50-100,1
51,Male,Single,6,Odisha,Employed(Government),50-100,1
59,Female,Other,10,Delhi,Employed(Private),50-100,2
37,Male,Other,10,West Bengal,Student,500-1000,1
62,Male,Married,1,Telangana,Employed(Private),50-100,0
36,Male,Single,10,Chandigarh,Unemployed,0-10,1
70,Male,Single,3,Nagaland,Employed(Government),10-50,0
74,Female,Single,2,Chandigarh,Student,100-500,2
21,Female,Married,3,Delhi,Retired,50-100,1
80,Male,Married,4,Madhya Pradesh,Student,1000+,1
76,Male,Other,8,Assam,Retired,10-50,3
43,Male,Other,6,Karnataka,Employed(Government),1000+,2
51,Male,Married,2,Meghalaya,Student,100-500,0
60,Male,Single,1,Arunachal Pradesh,Employed(Private),0-10,0
78,Female,Other,6,Telangana,Employed(Government),10-50,2
65,Female,Married,10,Odisha,Employed(Private),0-10,1
58,Female,Other,6,Ladakh,Employed(Private),10-50,0
68,Female,Married,3,Delhi,Employed(Private),500-1000,2
52,Male,Other,9,Maharashtra,Employed(Government),0-10,3
52,Male,Single,7,Delhi,Student,1000+,0
72,Male,Other,4,Telangana,Employed(Government),500-1000,1
70,Female,Married,2,Madhya Pradesh,Employed(Private),100-500,1
18,Male,Single,7,Uttarakhand,Employed(Government),10-50,3
80,Female,Single,5,Nagaland,Employed(Private),50-100,2
18,Male,Single,1,Madhya Pradesh,Employed(Private),500-1000,0
48,Female,Other,2,Telangana,Employed(Government),100-500,2
21,Female,Married,8,Karnataka,Employed(Private),50-100,0
79,Male,Married,3,Andaman and Nicobar Islands,Student,0-10,1
74,Male,Married,6,Manipur,Employed(Private),50-100,0
36,Male,Married,1,Puducherry,Employed(Private),100-500,0
63,Female,Single,8,Karnataka,Unemployed,0-10,0
39,Female,Other,2,Goa,Student,10-50,2
66,Male,Married,9,Puducherry,Student,100-500,2
24,Male,Other,2,Uttarakhand,Employed(Private),0-10,1
61,Male,Other,4,Puducherry,Employed(Private),10-50,0
71,Male,Other,7,Andhra Pradesh,Employed(Private),50-100,0
37,Female,Single,4,Jharkhand,Retired,50-100,0
49,Male,Other,9,Andaman and Nicobar Islands,Employed(Private),50-100,0
54,Male,Other,1,Chandigarh,Employed(Private),0-10,1
39,Female,Single,2,West Bengal,Employed(Government),10-50,2
23,Female,Single,4,Haryana,Employed(Government),100-500,3
36,Male,Single,10,Lakshadweep,Employed(Private),1000+,1
69,Female,Married,10,Andhra Pradesh,Unemployed,10-50,2
29,Female,Married,8,Haryana,Unemployed,500-1000,2
33,Female,Other,3,Madhya Pradesh,Unemployed,10-50,1
37,Female,Other,1,Gujarat,Student,10-50,0
49,Male,Single,2,Punjab,Unemployed,100-500,1
62,Female,Other,7,Jharkhand,Retired,10-50,0
45,Male,Married,9,Gujarat,Employed(Private),100-500,2
76,Male,Married,1,Karnataka,Retired,50-100,1
79,Male,Married,4,Haryana,Retired,50-100,0
36,Female,Married,2,Assam,Retired,500-1000,1
38,Female,Married,10,Uttarakhand,Unemployed,50-100,0
45,Female,Other,8,Lakshadweep,Retired,10-50,0
35,Male,Single,6,Delhi,Student,50-100,1
34,Male,Married,7,Chandigarh,Unemployed,100-500,0
46,Female,Single,5,Rajasthan,Unemployed,500-1000,1
68,Male,Married,8,Gujarat,Retired,100-500,2
24,Female,Other,3,Telangana,Student,10-50,2
46,Male,Single,1,Uttarakhand,Student,1000+,0
53,Female,Married,7,Odisha,Unemployed,1000+,0
40,Female,Other,9,West Bengal,Employed(Government),1000+,1
79,Male,Other,6,Chhattisgarh,Student,50-100,0
55,Male,Other,5,Andaman and Nicobar Islands,Retired,50-100,0
19,Female,Other,6,Meghalaya,Student,1000+,0
66,Female,Married,7,Haryana,Student,10-50,0
71,Male,Other,2,Chhattisgarh,Retired,0-10,2
56,Female,Married,2,Madhya Pradesh,Student,0-10,0
19,Female,Other,5,Telangana,Employed(Government),50-100,2
40,Female,Married,3,Himachal Pradesh,Retired,500-1000,1
46,Male,Single,8,Jharkhand,Employed(Private),50-100,1
66,Male,Single,3,Madhya Pradesh,Student,0-10,3
39,Male,Other,5,Lakshadweep,Unemployed,500-1000,0
42,Female,Other,6,Punjab,Employed(Private),1000+,0
20,Female,Married,5,Kerala,Retired,50-100,2
70,Female,Married,1,Sikkim,Student,10-50,2
68,Female,Other,9,Himachal Pradesh,Unemployed,50-100,2
74,Male,Other,8,Madhya Pradesh,Employed(Private),10-50,2
44,Male,Single,6,Jammu and Kashmir,Unemployed,100-500,1
47,Female,Married,9,Bihar,Retired,500-1000,3
31,Female,Other,6,Bihar,Employed(Private),10-50,1
30,Female,Single,9,Andaman and Nicobar Islands,Employed(Government),500-1000,0
65,Male,Single,3,Andaman and Nicobar Islands,Retired,0-10,0
51,Female,Single,5,Karnataka,Student,100-500,0
22,Female,Single,5,Ladakh,Unemployed,50-100,3
35,Female,Other,1,Uttar Pradesh,Student,0-10,0
66,Female,Married,8,Manipur,Retired,1000+,1
18,Male,Married,5,Jharkhand,Employed(Private),50-100,1
65,Female,Other,8,Manipur,Employed(Private),10-50,3
78,Female,Single,3,Haryana,Employed(Private),500-1000,0
57,Female,Single,7,Puducherry,Retired,500-1000,0
76,Female,Married,9,Mizoram,Unemployed,0-10,1
67,Male,Single,9,Assam,Unemployed,10-50,0
26,Male,Single,9,Karnataka,Retired,0-10,0
57,Female,Other,3,Punjab,Retired,10-50,3
50,Male,Other,8,Karnataka,Employed(Private),1000+,0
54,Male,Single,9,Punjab,Student,0-10,2
45,Male,Other,1,Andhra Pradesh,Student,1000+,0
23,Male,Single,7,Arunachal Pradesh,Student,100-500,0
22,Male,Other,5,Punjab,Student,50-100,0
25,Male,Single,8,Punjab,Employed(Private),10-50,1
47,Male,Other,6,Lakshadweep,Employed(Government),0-10,2
50,Female,Married,7,Maharashtra,Student,500-1000,1
63,Male,Single,2,Haryana,Employed(Private),10-50,3
37,Male,Married,8,Haryana,Employed(Private),10-50,0
78,Female,Single,4,Delhi,Employed(Government),10-50,0
68,Female,Single,5,Uttar Pradesh,Student,100-500,2
23,Female,Married,2,Andaman and Nicobar Islands,Employed(Government),100-500,1
44,Male,Married,2,Goa,Employed(Private),500-1000,3
55,Male,Single,3,Andhra Pradesh,Employed(Government),0-10,2
65,Female,Single,4,Sikkim,Retired,500-1000,3
35,Male,Single,2,Rajasthan,Employed(Government),1000+,1
31,Male,Single,4,Bihar,Retired,10-50,0
76,Female,Married,2,Andhra Pradesh,Retired,100-500,2
42,Female,Other,10,Tripura,Employed(Private),10-50,0
35,Female,Single,2,Goa,Employed(Government),50-100,1
25,Female,Married,2,Rajasthan,Retired,0-10,2
32,Female,Single,5,Andaman and Nicobar Islands,Employed(Private),1000+,1
52,Male,Single,1,Dadra and Nagar Haveli and Daman and Diu,Employed(Government),10-50,1
25,Male,Single,1,Bihar,Student,100-500,0
65,Female,Single,5,Jammu and Kashmir,Retired,100-500,0
57,Male,Single,10,Bihar,Retired,50-100,2
41,Female,Married,6,Himachal Pradesh,Employed(Government),10-50,2
39,Female,Other,5,Jharkhand,Retired,500-1000,3
72,Female,Married,6,Chhattisgarh,Unemployed,100-500,0
68,Female,Single,9,Andhra Pradesh,Employed(Private),1000+,0
58,Male,Married,2,Chhattisgarh,Retired,1000+,1
79,Male,Single,4,Tamil Nadu,Unemployed,50-100,0
79,Male,Other,5,Chhattisgarh,Employed(Private),0-10,0
30,Male,Married,9,West Bengal,Student,1000+,2
27,Male,Single,2,Sikkim,Employed(Government),0-10,2
70,Female,Single,7,Sikkim,Student,500-1000,3
19,Female,Other,9,Sikkim,Student,50-100,1
52,Female,Single,10,Maharashtra,Student,50-100,1
65,Male,Other,8,Meghalaya,Employed(Government),500-1000,0
79,Female,Other,4,Tripura,Retired,10-50,2
21,Female,Single,8,Arunachal Pradesh,Employed(Private),1000+,3
25,Female,Married,3,Sikkim,Student,500-1000,1
38,Male,Other,2,Bihar,Retired,50-100,0
43,Female,Single,8,Rajasthan,Employed(Private),1000+,1
45,Female,Married,7,Chhattisgarh,Student,500-1000,0
60,Female,Married,1,Gujarat,Employed(Government),50-100,2
54,Female,Other,3,Tripura,Unemployed,50-100,2
76,Female,Married,10,Chandigarh,Retired,50-100,1
33,Female,Married,1,Nagaland,Retired,100-500,3
52,Female,Single,10,Nagaland,Student,0-10,3
29,Male,Married,7,Maharashtra,Retired,50-100,0
78,Female,Married,3,Manipur,Student,1000+,3
33,Female,Married,1,Lakshadweep,Retired,100-500,2
70,Male,Single,9,Uttarakhand,Employed(Government),10-50,0
60,Female,Married,5,Andhra Pradesh,Employed(Private),50-100,2
34,Female,Other,2,Assam,Retired,1000+,0
20,Female,Married,2,Punjab,Unemployed,10-50,2
25,Male,Married,3,Assam,Unemployed,1000+,0
24,Female,Other,8,Assam,Employed(Government),100-500,3
47,Female,Single,8,Uttar Pradesh,Retired,500-1000,0
71,Male,Single,2,Haryana,Retired,50-100,3
38,Female,Single,10,Puducherry,Unemployed,50-100,3
18,Female,Single,7,Tamil Nadu,Employed(Government),0-10,0
41,Male,Single,2,Manipur,Employed(Private),100-500,1
70,Female,Other,4,Punjab,Retired,100-500,3
29,Female,Single,5,Puducherry,Employed(Government),0-10,1
45,Female,Married,1,Telangana,Unemployed,100-500,1
58,Female,Married,10,Bihar,Employed(Government),50-100,3
38,Female,Other,10,Nagaland,Unemployed,500-1000,0
76,Male,Single,1,West Bengal,Employed(Private),10-50,0
34,Male,Single,8,Puducherry,Student,500-1000,0
44,Female,Single,9,Ladakh,Employed(Private),50-100,1
32,Male,Single,7,Tripura,Employed(Private),500-1000,2
42,Male,Married,3,Puducherry,Employed(Government),50-100,1
76,Female,Other,7,Chandigarh,Retired,0-10,0
73,Male,Single,1,Delhi,Unemployed,50-100,2
79,Male,Other,1,Delhi,Unemployed,500-1000,2
65,Male,Married,8,Andaman and Nicobar Islands,Employed(Private),10-50,2
47,Male,Other,4,Chhattisgarh,Student,100-500,3
55,Female,Married,9,Gujarat,Student,500-1000,1
49,Male,Other,2,Lakshadweep,Employed(Private),0-10,0
68,Female,Other,4,Chandigarh,Unemployed,0-10,0
49,Female,Single,3,Arunachal Pradesh,Retired,50-100,0
57,Female,Married,5,Rajasthan,Employed(Private),50-100,0
80,Male,Married,3,Dadra and Nagar Haveli and Daman and Diu,Employed(Government),50-100,3
34,Male,Other,4,Arunachal Pradesh,Employed(Government),50-100,0
28,Male,Other,1,Rajasthan,Student,0-10,2
54,Male,Other,5,Bihar,Employed(Private),1000+,1
19,Female,Single,8,Karnataka,Employed(Private),10-50,2
25,Female,Married,1,Uttarakhand,Student,100-500,0
35,Male,Married,2,Manipur,Student,10-50,0
62,Female,Other,7,Tripura,Unemployed,10-50,0
24,Male,Married,9,Jharkhand,Student,500-1000,0
38,Male,Single,10,Kerala,Unemployed,100-500,0
43,Male,Single,1,Tamil Nadu,Unemployed,50-100,1
76,Male,Single,1,Tamil Nadu,Employed(Government),10-50,0
19,Male,Other,9,Delhi,Student,500-1000,2
67,Male,Other,6,Jammu and Kashmir,Student,1000+,0
58,Male,Other,2,Punjab,Retired,50-100,3
63,Female,Married,10,Chhattisgarh,Employed(Government),50-100,0
76,Female,Other,6,Madhya Pradesh,Student,1000+,1
53,Female,Married,5,Delhi,Employed(Government),50-100,0
21,Male,Other,4,Tripura,Employed(Private),50-100,0
56,Female,Other,4,Sikkim,Unemployed,10-50,2
24,Female,Other,10,Lakshadweep,Employed(Private),50-100,0
38,Male,Married,10,Uttar Pradesh,Employed(Government),500-1000,1
67,Female,Single,5,Manipur,Unemployed,50-100,0
21,Male,Other,2,Maharashtra,Unemployed,0-10,1
43,Female,Other,10,Uttar Pradesh,Student,50-100,1
29,Female,Single,8,Andaman and Nicobar Islands,Student,100-500,2
32,Male,Single,3,Chandigarh,Employed(Government),0-10,0
70,Female,Married,9,Tamil Nadu,Employed(Private),100-500,0
30,Male,Married,3,Punjab,Student,100-500,2
26,Female,Other,1,Uttarakhand,Employed(Government),50-100,2
64,Male,Single,8,Arunachal Pradesh,Retired,500-1000,1
42,Male,Other,5,Goa,Employed(Government),50-100,0
80,Male,Married,5,Ladakh,Employed(Private),1000+,0
71,Male,Married,3,Tripura,Employed(Government),50-100,1
73,Female,Married,5,Dadra and Nagar Haveli and Daman and Diu,Employed(Government),1000+,1
53,Female,Married,8,Meghalaya,Employed(Private),0-10,3
61,Male,Other,9,Uttar Pradesh,Retired,0-10,1
44,Female,Other,5,Uttar Pradesh,Retired,10-50,0
28,Male,Single,6,Mizoram,Unemployed,1000+,1
62,Female,Married,4,Tripura,Employed(Private),500-1000,0
80,Male,Single,9,Telangana,Employed(Government),10-50,2
42,Female,Single,8,Jammu and Kashmir,Employed(Private),50-100,1
42,Female,Other,8,West Bengal,Retired,500-1000,2
18,Female,Other,6,Punjab,Employed(Private),100-500,0
53,Male,Single,3,Telangana,Unemployed,50-100,2
77,Female,Married,9,Dadra and Nagar Haveli and Daman and Diu,Employed(Government),0-10,1
22,Male,Married,8,Telangana,Employed(Private),500-1000,0
42,Female,Married,2,Chhattisgarh,Employed(Private),0-10,2
62,Male,Single,4,Telangana,Unemployed,1000+,3
72,Male,Married,4,Lakshadweep,Unemployed,50-100,1
79,Female,Single,9,Jammu and Kashmir,Employed(Government),0-10,0
70,Female,Other,5,Tripura,Unemployed,100-500,1
53,Male,Other,4,Delhi,Retired,1000+,1
79,Female,Married,7,Jammu and Kashmir,Employed(Private),50-100,0
56,Female,Single,1,Delhi,Employed(Private),50-100,1
21,Female,Single,2,Punjab,Employed(Government),100-500,0
74,Male,Married,10,Punjab,Retired,1000+,2
68,Female,Other,2,Telangana,Unemployed,1000+,1
22,Female,Married,7,Sikkim,Employed(Private),500-1000,1
41,Female,Single,5,Chandigarh,Employed(Private),1000+,2
18,Male,Other,5,Madhya Pradesh,Employed(Private),10-50,0
43,Male,Married,5,Madhya Pradesh,Student,100-500,2
38,Male,Married,8,Goa,Retired,1000+,0
30,Male,Other,6,Mizoram,Employed(Government),500-1000,2
30,Female,Other,3,Tamil Nadu,Unemployed,0-10,0
44,Female,Single,8,Manipur,Employed(Private),500-1000,3
65,Male,Single,1,Andhra Pradesh,Employed(Government),50-100,1
45,Female,Married,10,Assam,Employed(Private),0-10,0
44,Male,Married,9,Chandigarh,Student,100-500,2
74,Female,Other,8,Mizoram,Retired,0-10,1
64,Female,Married,2,Maharashtra,Employed(Private),0-10,2
68,Female,Single,3,Jammu and Kashmir,Retired,1000+,3
24,Female,Single,2,Chandigarh,Unemployed,100-500,1
63,Male,Other,4,Delhi,Student,0-10,3
56,Female,Single,3,Arunachal Pradesh,Unemployed,1000+,0
43,Male,Single,7,Assam,Employed(Government),100-500,2
28,Male,Other,10,Karnataka,Employed(Private),50-100,0
66,Male,Married,10,Punjab,Student,500-1000,0
59,Male,Married,9,Kerala,Employed(Government),1000+,1
28,Male,Other,9,Assam,Employed(Government),1000+,0
71,Female,Other,7,Jharkhand,Student,10-50,0
72,Male,Other,4,Haryana,Employed(Government),100-500,1
42,Male,Single,4,Mizoram,Unemployed,100-500,0
43,Male,Married,6,Rajasthan,Student,50-100,3
36,Female,Married,10,Uttarakhand,Unemployed,10-50,0
31,Female,Married,2,Andaman and Nicobar Islands,Employed(Private),50-100,1
31,Female,Married,3,Assam,Student,0-10,3
55,Male,Married,3,Goa,Employed(Government),10-50,1
22,Female,Other,1,Uttar Pradesh,Retired,1000+,3
71,Male,Other,3,Punjab,Employed(Private),500-1000,2
38,Male,Other,2,Manipur,Unemployed,0-10,2
24,Male,Single,10,Uttar Pradesh,Employed(Government),10-50,0
34,Male,Other,5,West Bengal,Employed(Private),10-50,2
30,Male,Married,10,Andaman and Nicobar Islands,Retired,100-500,0
39,Female,Other,1,Kerala,Unemployed,100-500,3
47,Female,Married,6,Meghalaya,Employed(Private),0-10,3
60,Male,Single,8,Uttarakhand,Unemployed,1000+,0
30,Female,Married,1,Goa,Employed(Government),50-100,3
60,Female,Other,5,Jammu and Kashmir,Student,100-500,1
18,Male,Single,5,Goa,Employed(Private),1000+,3
20,Male,Single,5,Bihar,Unemployed,50-100,0
38,Female,Single,8,Jammu and Kashmir,Retired,0-10,2
70,Female,Married,9,Kerala,Employed(Private),1000+,3
79,Male,Other,1,Uttar Pradesh,Employed(Private),50-100,2
66,Male,Married,4,Mizoram,Retired,500-1000,0
53,Male,Single,4,Telangana,Retired,50-100,3
31,Female,Other,1,Telangana,Retired,100-500,0
46,Male,Married,6,Telangana,Retired,10-50,3
53,Male,Married,3,Maharashtra,Employed(Government),50-100,1
44,Male,Other,2,Andaman and Nicobar Islands,Student,10-50,2
75,Male,Married,8,Assam,Retired,0-10,1
67,Female,Single,6,West Bengal,Student,100-500,3
33,Male,Married,2,Lakshadweep,Student,0-10,0
75,Male,Single,8,Goa,Employed(Government),100-500,3
80,Male,Married,1,Meghalaya,Student,50-100,2
40,Male,Married,2,Andhra Pradesh,Unemployed,10-50,2
70,Male,Single,2,Jharkhand,Employed(Private),1000+,0
32,Male,Single,9,Ladakh,Retired,50-100,1
50,Male,Married,3,Rajasthan,Retired,100-500,0
52,Male,Married,9,Gujarat,Employed(Private),1000+,0
76,Female,Married,9,Haryana,Retired,500-1000,1
52,Male,Other,1,Telangana,Employed(Government),50-100,0
78,Male,Single,6,Odisha,Unemployed,100-500,0
35,Male,Single,2,Odisha,Employed(Government),0-10,1
26,Female,Single,1,Meghalaya,Retired,10-50,0
57,Male,Other,10,Assam,Employed(Government),500-1000,0
48,Female,Single,8,Uttarakhand,Unemployed,50-100,3
56,Female,Single,7,Puducherry,Retired,100-500,2
35,Female,Single,6,Goa,Unemployed,500-1000,1
32,Female,Other,6,Lakshadweep,Employed(Government),500-1000,0
19,Male,Other,2,Rajasthan,Employed(Government),100-500,0
22,Female,Single,10,Uttarakhand,Employed(Government),50-100,0
54,Male,Married,4,Jammu and Kashmir,Student,10-50,1
33,Male,Married,10,West Bengal,Employed(Private),50-100,1
48,Male,Other,9,Andhra Pradesh,Student,0-10,1
69,Male,Married,10,Uttarakhand,Employed(Private),100-500,1
19,Male,Married,4,Manipur,Unemployed,10-50,2
